,test_loss,layer,residual_cells,exponent,learning_rate,dropout_first,dropout_middle,dropout_last,activation_function,alpha,batch_size,epochs
892,0.002116776189156511,34,2,8,1e-06,0.0,0.0,0.5,elu,1.0,16,200
0,0.002157496873772508,12,2,8,1e-06,0.2,0.0,0.5,elu,1.0,16,200
1,0.0021846009335993026,9,2,8,1e-06,0.2,0.0,0.5,elu,1.0,16,200
893,0.0021968728957032662,18,2,8,1e-06,0.0,0.0,0.5,elu,1.0,16,200
2,0.0022001529104515873,12,2,8,1e-06,0.2,0.0,0.2,elu,1.0,16,200
3,0.002220505477293795,9,2,8,1e-06,0.2,0.0,0.2,elu,1.0,16,200
5,0.0022205514914767762,12,0,8,1e-06,0.2,0.0,0.2,elu,1.0,16,200
4,0.0022205514914767762,12,0,8,1e-06,0.2,0.0,0.5,elu,1.0,16,200
6,0.0022410158157241088,12,2,8,1e-06,0.2,0.0,0.5,elu,1.0,8,200
7,0.0022505663604895274,9,0,8,1e-06,0.2,0.0,0.2,elu,1.0,16,200
8,0.0022505663604895274,9,0,8,1e-06,0.2,0.0,0.5,elu,1.0,16,200
894,0.002259426563719068,12,2,8,1e-06,0.0,0.0,0.5,elu,1.0,16,200
9,0.0022738777928265628,12,2,8,1e-06,0.2,0.0,0.5,elu,1.0,32,200
10,0.002278472233765561,12,2,8,1e-06,0.2,0.0,0.5,elu,0.5,16,200
11,0.002289294285613682,12,2,8,1e-06,0.2,0.0,0.5,elu,2.0,16,200
12,0.0023063125315276913,12,0,8,1e-06,0.2,0.0,0.2,elu,1.0,32,200
14,0.0023127206961251275,9,0,8,1e-06,0.2,0.0,0.5,elu,1.0,32,200
13,0.0023127206961251275,9,0,8,1e-06,0.2,0.0,0.2,elu,1.0,32,200
15,0.002312726552848345,9,0,8,1e-06,0.2,0.2,0.2,elu,1.0,16,1000
16,0.002317723549241939,12,0,8,1e-06,0.2,0.0,0.5,elu,1.0,32,200
17,0.002331412394979551,9,2,8,1e-06,0.2,0.0,0.5,elu,1.0,32,200
